id,Predicted_Label
443,1
252,4
525,2
411,4
284,4
121,4
356,2
167,2
439,4
66,3
124,3
387,4
61,0
270,0
13,4
53,3
32,1
148,0
349,4
93,1
326,1
366,4
56,2
399,4
314,3
311,1
239,2
63,0
501,2
361,3
508,4
44,4
540,3
42,3
146,4
457,1
360,1
267,0
60,2
74,2
431,1
479,2
208,2
101,0
196,4
218,0
154,1
495,4
49,2
392,3
2,2
450,2
177,0
455,1
272,2
34,4
302,0
202,4
158,4
331,0
288,1
253,4
428,2
215,2
299,1
286,3
217,3
452,3
465,0
483,1
344,0
141,4
507,0
264,0
95,3
445,3
211,3
9,3
170,0
200,4
546,2
92,3
395,4
268,0
518,2
99,1
212,4
112,4
345,2
290,1
333,4
486,4
420,2
119,1
337,2
543,2
35,2
260,1
293,4
476,4
81,1
432,1
128,0
241,0
490,2
222,0
186,0
4,2
64,4
309,2
403,2
