2024/7/19 	 23:46:09 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.215328
	0.005000	0.179152
	0.010000	0.238349
	0.015000	0.274525
	0.020000	0.218617
	0.025000	0.182441
	0.030000	0.241638
	0.035000	0.274525
	0.040000	0.221905
	0.045000	0.182441
	0.050000	0.248215
	0.055000	0.277814
	0.060000	0.225194
	0.065000	0.189018
	0.070000	0.248215
	0.075000	0.277814
	0.080000	0.228483
	0.085000	0.195596
	0.090000	0.251504
	0.095000	0.281102
	0.100000	0.228483
	0.105000	0.195596
	0.110000	0.251504
	0.115000	0.281102
	0.120000	0.235060
	0.125000	0.192307
	0.130000	0.254793
	0.135000	0.281102
	0.140000	0.235060
	0.145000	0.202173
	0.150000	0.248215
	0.155000	0.281102
	0.160000	0.238349
	0.165000	0.205462
	0.170000	0.258081
	0.175000	0.284391
	0.180000	0.231772
	0.185000	0.202173
	0.190000	0.258081
	0.195000	0.281102
	0.200000	0.241638
	0.205000	0.205462
	0.210000	0.258081
	0.215000	0.281102
	0.220000	0.238349
	0.225000	0.205462
	0.230000	0.251504
	0.235000	0.281102
	0.240000	0.235060
	0.245000	0.208751
	0.250000	0.258081
	0.255000	0.287680
	0.260000	0.238349
	0.265000	0.215328
	0.270000	0.258081
	0.275000	0.284391
	0.280000	0.241638
	0.285000	0.208751
	0.290000	0.258081
	0.295000	0.284391
	0.300000	0.238349
	0.305000	0.212039
	0.310000	0.258081
	0.315000	0.287680
	0.320000	0.241638
	0.325000	0.212039
	0.330000	0.261370
	0.335000	0.287680
	0.340000	0.241638
	0.345000	0.212039
	0.350000	0.254793
	0.355000	0.284391
	0.360000	0.241638
	0.365000	0.212039
	0.370000	0.261370
	0.375000	0.287680
	0.380000	0.251504
	0.385000	0.215328
	0.390000	0.261370
	0.395000	0.290969
	0.400000	0.248215
	0.405000	0.215328
	0.410000	0.261370
	0.415000	0.290969
	0.420000	0.251504
	0.425000	0.215328
	0.430000	0.261370
	0.435000	0.290969
	0.440000	0.251504
	0.445000	0.221905
	0.450000	0.261370
	0.455000	0.294257
	0.460000	0.248215
	0.465000	0.221905
	0.470000	0.264659
	0.475000	0.290969
	0.480000	0.251504
	0.485000	0.221905
	0.490000	0.264659
	0.495000	0.297546
	0.500000	0.251504
	0.505000	0.221905
	0.510000	0.264659
	0.515000	0.297546
	0.520000	0.251504
	0.525000	0.221905
	0.530000	0.271236
	0.535000	0.297546
	0.540000	0.254793
	0.545000	0.228483
	0.550000	0.271236
	0.555000	0.300835
	0.560000	0.254793
	0.565000	0.221905
	0.570000	0.267948
	0.575000	0.300835
	0.580000	0.258081
	0.585000	0.225194
	0.590000	0.267948
	0.595000	0.297546
	0.600000	0.254793
	0.605000	0.228483
	0.610000	0.267948
	0.615000	0.300835
	0.620000	0.258081
	0.625000	0.225194
	0.630000	0.274525
	0.635000	0.300835
	0.640000	0.261370
	0.645000	0.235060
	0.650000	0.277814
	0.655000	0.304124
	0.660000	0.261370
	0.665000	0.228483
	0.670000	0.281102
	0.675000	0.304124
	0.680000	0.264659
	0.685000	0.231772
	0.690000	0.277814
	0.695000	0.304124
	0.700000	0.264659
	0.705000	0.231772
	0.710000	0.277814
	0.715000	0.304124
	0.720000	0.264659
	0.725000	0.235060
	0.730000	0.281102
	0.735000	0.307412
	0.740000	0.267948
	0.745000	0.235060
	0.750000	0.281102
	0.755000	0.310701
	0.760000	0.264659
	0.765000	0.238349
	0.770000	0.284391
	0.775000	0.307412
	0.780000	0.264659
	0.785000	0.235060
	0.790000	0.284391
	0.795000	0.310701
	0.800000	0.271236
	0.805000	0.238349
	0.810000	0.284391
	0.815000	0.313990
	0.820000	0.274525
	0.825000	0.244927
	0.830000	0.287680
	0.835000	0.313990
	0.840000	0.274525
	0.845000	0.241638
	0.850000	0.284391
	0.855000	0.317278
	0.860000	0.267948
	0.865000	0.241638
	0.870000	0.294257
	0.875000	0.313990
	0.880000	0.274525
	0.885000	0.241638
	0.890000	0.290969
	0.895000	0.317278
	0.900000	0.274525
	0.905000	0.241638
	0.910000	0.287680
	0.915000	0.313990
	0.920000	0.277814
	0.925000	0.248215
	0.930000	0.287680
	0.935000	0.320567
	0.940000	0.274525
	0.945000	0.244927
	0.950000	0.290969
	0.955000	0.320567
	0.960000	0.274525
	0.965000	0.244927
	0.970000	0.294257
	0.975000	0.320567
	0.980000	0.284391
	0.985000	0.248215
	0.990000	0.294257
	0.995000	0.320567
	1.000000	0.281102
	1.005000	0.248215
	1.010000	0.294257
	1.015000	0.320567
	1.020000	0.281102
	1.025000	0.248215
	1.030000	0.297546
	1.035000	0.327145
	1.040000	0.281102
	1.045000	0.254793
	1.050000	0.297546
	1.055000	0.323856
	1.060000	0.287680
	1.065000	0.251504
	1.070000	0.297546
	1.075000	0.327145
	1.080000	0.281102
	1.085000	0.254793
	1.090000	0.297546
	1.095000	0.323856
	1.100000	0.290969
	1.105000	0.258081
	1.110000	0.297546
	1.115000	0.327145
	1.120000	0.287680
	1.125000	0.251504
	1.130000	0.300835
	1.135000	0.330433
	1.140000	0.290969
	1.145000	0.258081
	1.150000	0.300835
	1.155000	0.330433
	1.160000	0.287680
	1.165000	0.254793
	1.170000	0.297546
	1.175000	0.327145
	1.180000	0.290969
	1.185000	0.258081
	1.190000	0.297546
	1.195000	0.330433
	1.200000	0.287680
	1.205000	0.258081
	1.210000	0.297546
	1.215000	0.330433
	1.220000	0.290969
	1.225000	0.258081
	1.230000	0.297546
	1.235000	0.327145
	1.240000	0.294257
	1.245000	0.254793
	1.250000	0.294257
	1.255000	0.330433
	1.260000	0.290969
	1.265000	0.258081
	1.270000	0.300835
	1.275000	0.330433
	1.280000	0.290969
	1.285000	0.254793
	1.290000	0.300835
	1.295000	0.330433
	1.300000	0.287680
	1.305000	0.258081
	1.310000	0.300835
	1.315000	0.327145
	1.320000	0.294257
	1.325000	0.251504
	1.330000	0.297546
	1.335000	0.327145
	1.340000	0.284391
	1.345000	0.258081
	1.350000	0.297546
	1.355000	0.330433
	1.360000	0.287680
	1.365000	0.254793
	1.370000	0.297546
	1.375000	0.323856
	1.380000	0.287680
	1.385000	0.254793
	1.390000	0.297546
	1.395000	0.323856
	1.400000	0.287680
	1.405000	0.258081
	1.410000	0.294257
	1.415000	0.323856
	1.420000	0.284391
	1.425000	0.254793
	1.430000	0.294257
	1.435000	0.327145
	1.440000	0.284391
	1.445000	0.251504
	1.450000	0.294257
	1.455000	0.323856
	1.460000	0.284391
	1.465000	0.251504
	1.470000	0.294257
