2024/7/19 	 23:20:54 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.027871
	0.005000	0.044314
	0.010000	-0.047770
	0.015000	-0.070791
	0.020000	0.021293
	0.025000	0.041026
	0.030000	-0.051059
	0.035000	-0.074080
	0.040000	0.018005
	0.045000	0.037737
	0.050000	-0.054347
	0.055000	-0.077368
	0.060000	0.014716
	0.065000	0.034448
	0.070000	-0.057636
	0.075000	-0.077368
	0.080000	0.008138
	0.085000	0.031160
	0.090000	-0.057636
	0.095000	-0.083946
	0.100000	0.004850
	0.105000	0.024582
	0.110000	-0.067502
	0.115000	-0.090523
	0.120000	0.001561
	0.125000	0.024582
	0.130000	-0.067502
	0.135000	-0.087234
	0.140000	-0.005016
	0.145000	0.024582
	0.150000	-0.070791
	0.155000	-0.093812
	0.160000	-0.008305
	0.165000	0.018005
	0.170000	-0.077368
	0.175000	-0.100389
	0.180000	-0.011594
	0.185000	0.011427
	0.190000	-0.077368
	0.195000	-0.100389
	0.200000	-0.011594
	0.205000	0.014716
	0.210000	-0.077368
	0.215000	-0.103678
	0.220000	-0.011594
	0.225000	0.008138
	0.230000	-0.080657
	0.235000	-0.103678
	0.240000	-0.021460
	0.245000	0.004850
	0.250000	-0.087234
	0.255000	-0.110256
	0.260000	-0.024749
	0.265000	0.001561
	0.270000	-0.087234
	0.275000	-0.113544
	0.280000	-0.024749
	0.285000	-0.001728
	0.290000	-0.093812
	0.295000	-0.113544
	0.300000	-0.024749
	0.305000	-0.001728
	0.310000	-0.093812
	0.315000	-0.116833
	0.320000	-0.034615
	0.325000	-0.001728
	0.330000	-0.093812
	0.335000	-0.120122
	0.340000	-0.031326
	0.345000	-0.008305
	0.350000	-0.097101
	0.355000	-0.123410
	0.360000	-0.031326
	0.365000	-0.008305
	0.370000	-0.100389
	0.375000	-0.129988
	0.380000	-0.041192
	0.385000	-0.018171
	0.390000	-0.106967
	0.395000	-0.129988
	0.400000	-0.041192
	0.405000	-0.018171
	0.410000	-0.110256
	0.415000	-0.133277
	0.420000	-0.044481
	0.425000	-0.018171
	0.430000	-0.113544
	0.435000	-0.139854
	0.440000	-0.047770
	0.445000	-0.024749
	0.450000	-0.110256
	0.455000	-0.143143
	0.460000	-0.051059
	0.465000	-0.024749
	0.470000	-0.116833
	0.475000	-0.139854
	0.480000	-0.054347
	0.485000	-0.028037
	0.490000	-0.116833
	0.495000	-0.146431
	0.500000	-0.060925
	0.505000	-0.034615
	0.510000	-0.120122
	0.515000	-0.149720
	0.520000	-0.054347
	0.525000	-0.034615
