2024/7/19 	 23:23:04 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.268114
	0.005000	-0.192474
	0.010000	-0.245093
	0.015000	-0.320734
	0.020000	-0.271403
	0.025000	-0.199051
	0.030000	-0.245093
	0.035000	-0.327311
	0.040000	-0.271403
	0.045000	-0.195762
	0.050000	-0.248382
	0.055000	-0.324023
	0.060000	-0.271403
	0.065000	-0.195762
	0.070000	-0.245093
	0.075000	-0.317445
	0.080000	-0.271403
	0.085000	-0.195762
	0.090000	-0.245093
	0.095000	-0.324023
	0.100000	-0.271403
	0.105000	-0.195762
	0.110000	-0.245093
	0.115000	-0.314156
	0.120000	-0.268114
	0.125000	-0.192474
	0.130000	-0.245093
	0.135000	-0.324023
	0.140000	-0.268114
	0.145000	-0.192474
	0.150000	-0.241804
	0.155000	-0.320734
	0.160000	-0.271403
	0.165000	-0.189185
	0.170000	-0.241804
	0.175000	-0.320734
	0.180000	-0.271403
	0.185000	-0.185896
	0.190000	-0.245093
	0.195000	-0.320734
	0.200000	-0.268114
	0.205000	-0.192474
	0.210000	-0.248382
	0.215000	-0.317445
	0.220000	-0.271403
	0.225000	-0.195762
	0.230000	-0.248382
	0.235000	-0.327311
	0.240000	-0.271403
	0.245000	-0.195762
	0.250000	-0.251671
	0.255000	-0.327311
	0.260000	-0.274692
	0.265000	-0.199051
	0.270000	-0.248382
	0.275000	-0.324023
	0.280000	-0.271403
	0.285000	-0.199051
	0.290000	-0.248382
	0.295000	-0.327311
	0.300000	-0.274692
	0.305000	-0.199051
	0.310000	-0.251671
	0.315000	-0.327311
	0.320000	-0.274692
	0.325000	-0.205628
	0.330000	-0.254959
	0.335000	-0.330600
	0.340000	-0.271403
	0.345000	-0.202340
	0.350000	-0.251671
	0.355000	-0.330600
	0.360000	-0.274692
	0.365000	-0.205628
	0.370000	-0.258248
	0.375000	-0.333889
	0.380000	-0.277980
	0.385000	-0.202340
	0.390000	-0.258248
	0.395000	-0.330600
	0.400000	-0.277980
	0.405000	-0.202340
	0.410000	-0.258248
	0.415000	-0.330600
